"COMUNA","MES","PERIODO","total"
"El Poblado",10,2018,316
"El Poblado",11,2014,242
"El Poblado",11,2015,230
"El Poblado",11,2016,282
"El Poblado",11,2017,299
"El Poblado",11,2018,316
"El Poblado",12,2014,264
"El Poblado",12,2015,264
"El Poblado",12,2016,288
"El Poblado",12,2017,306
"El Poblado",12,2018,284
"Guayabal",1,2014,206
"Guayabal",1,2015,210
"Guayabal",1,2016,209
"Guayabal",1,2017,234
"Guayabal",1,2018,195
"Guayabal",2,2014,210
"Guayabal",2,2015,244
"Guayabal",2,2016,304
"Guayabal",2,2017,275
"Guayabal",2,2018,244
"Guayabal",3,2014,280
"Guayabal",3,2015,232
"Guayabal",3,2016,244
"Guayabal",3,2017,271
"Guayabal",3,2018,234
"Guayabal",4,2014,235
"Guayabal",4,2015,210
"Guayabal",4,2016,287
"Guayabal",4,2017,261
"Guayabal",4,2018,252
"Guayabal",5,2014,277
"Guayabal",5,2015,226
"Guayabal",5,2016,271
"Guayabal",5,2017,260
"Guayabal",5,2018,268
"Guayabal",6,2014,236
"Guayabal",6,2015,194
"Guayabal",6,2016,241
"Guayabal",6,2017,266
"Guayabal",6,2018,217
"Guayabal",7,2014,278
"Guayabal",7,2015,243
"Guayabal",7,2016,282
"Guayabal",7,2017,268
"Guayabal",7,2018,276
"Guayabal",8,2014,239
"Guayabal",8,2015,259
"Guayabal",8,2016,294
"Guayabal",8,2017,310
"Guayabal",8,2018,286
"Guayabal",9,2014,266
"Guayabal",9,2015,266
"Guayabal",9,2016,249
"Guayabal",9,2017,274
"Guayabal",9,2018,239
"Guayabal",10,2014,245
"Guayabal",10,2015,258
"Guayabal",10,2016,315
"Guayabal",10,2017,261
"Guayabal",10,2018,274
"Guayabal",11,2014,241
"Guayabal",11,2015,219
"Guayabal",11,2016,306
"Guayabal",11,2017,254
"Guayabal",11,2018,264
"Guayabal",12,2014,233
"Guayabal",12,2015,253
"Guayabal",12,2016,301
"Guayabal",12,2017,243
"Guayabal",12,2018,228
"La América",1,2014,104
"La América",1,2015,118
"La América",1,2016,95
"La América",1,2017,113
"La América",1,2018,106
"La América",2,2014,115
"La América",2,2015,114
"La América",2,2016,130
"La América",2,2017,117
"La América",2,2018,114
"La América",3,2014,136
"La América",3,2015,107
"La América",3,2016,140
"La América",3,2017,125
"La América",3,2018,106
"La América",4,2014,110
"La América",4,2015,124
"La América",4,2016,136
"La América",4,2017,98
"La América",4,2018,116
"La América",5,2014,125
"La América",5,2015,120
"La América",5,2016,124
"La América",5,2017,124
"La América",5,2018,119
"La América",6,2014,117
"La América",6,2015,91
"La América",6,2016,106
"La América",6,2017,96
"La América",6,2018,109
"La América",7,2014,121
"La América",7,2015,131
"La América",7,2016,121
"La América",7,2017,138
"La América",7,2018,95
"La América",8,2014,103
"La América",8,2015,101
"La América",8,2016,134
"La América",8,2017,156
"La América",8,2018,92
"La América",9,2014,121
"La América",9,2015,107
"La América",9,2016,127
"La América",9,2017,145
"La América",9,2018,92
"La América",10,2014,119
"La América",10,2015,133
"La América",10,2016,128
"La América",10,2017,120
"La América",10,2018,106
"La América",11,2014,111
"La América",11,2015,118
"La América",11,2016,109
"La América",11,2017,108
"La América",11,2018,87
"La América",12,2014,106
"La América",12,2015,95
"La América",12,2016,95
"La América",12,2017,115
"La América",12,2018,102
"La Candelaria",1,2014,625
"La Candelaria",1,2015,626
"La Candelaria",1,2016,640
"La Candelaria",1,2017,634
"La Candelaria",1,2018,587
"La Candelaria",2,2014,691
"La Candelaria",2,2015,663
"La Candelaria",2,2016,694
"La Candelaria",2,2017,655
"La Candelaria",2,2018,673
"La Candelaria",3,2014,745
"La Candelaria",3,2015,778
"La Candelaria",3,2016,724
"La Candelaria",3,2017,665
"La Candelaria",3,2018,650
"La Candelaria",4,2014,717
"La Candelaria",4,2015,778
"La Candelaria",4,2016,725
"La Candelaria",4,2017,633
"La Candelaria",4,2018,708
"La Candelaria",5,2014,745
"La Candelaria",5,2015,824
"La Candelaria",5,2016,745
"La Candelaria",5,2017,731
"La Candelaria",5,2018,668
"La Candelaria",6,2014,712
"La Candelaria",6,2015,757
