"COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM"
"Aranjuez","2014-06-15T00:00:00.000Z",2014,6,15,"DOMINGO  ",5,7
"Aranjuez","2014-06-16T00:00:00.000Z",2014,6,16,"LUNES    ",5,1
"Aranjuez","2014-06-17T00:00:00.000Z",2014,6,17,"MARTES   ",6,2
"Aranjuez","2014-06-18T00:00:00.000Z",2014,6,18,"MIÉRCOLES",3,3
"Aranjuez","2014-06-19T00:00:00.000Z",2014,6,19,"JUEVES   ",12,4
"Aranjuez","2014-06-20T00:00:00.000Z",2014,6,20,"VIERNES  ",9,5
"Aranjuez","2014-06-21T00:00:00.000Z",2014,6,21,"SÁBADO   ",6,6
"Aranjuez","2014-06-22T00:00:00.000Z",2014,6,22,"DOMINGO  ",10,7
"Aranjuez","2014-06-23T00:00:00.000Z",2014,6,23,"LUNES    ",4,1
"Aranjuez","2014-06-24T00:00:00.000Z",2014,6,24,"MARTES   ",10,2
"Aranjuez","2014-06-25T00:00:00.000Z",2014,6,25,"MIÉRCOLES",8,3
"Aranjuez","2014-06-26T00:00:00.000Z",2014,6,26,"JUEVES   ",6,4
"Aranjuez","2014-06-27T00:00:00.000Z",2014,6,27,"VIERNES  ",4,5
"Aranjuez","2014-06-28T00:00:00.000Z",2014,6,28,"SÁBADO   ",8,6
"Aranjuez","2014-06-29T00:00:00.000Z",2014,6,29,"DOMINGO  ",2,7
"Aranjuez","2014-06-30T00:00:00.000Z",2014,6,30,"LUNES    ",3,1
"Aranjuez","2014-07-01T00:00:00.000Z",2014,7,1,"MARTES   ",11,2
"Aranjuez","2014-07-02T00:00:00.000Z",2014,7,2,"MIÉRCOLES",9,3
"Aranjuez","2014-07-03T00:00:00.000Z",2014,7,3,"JUEVES   ",5,4
"Aranjuez","2014-07-04T00:00:00.000Z",2014,7,4,"VIERNES  ",10,5
"Aranjuez","2014-07-05T00:00:00.000Z",2014,7,5,"SÁBADO   ",10,6
"Aranjuez","2014-07-06T00:00:00.000Z",2014,7,6,"DOMINGO  ",9,7
"Aranjuez","2014-07-07T00:00:00.000Z",2014,7,7,"LUNES    ",11,1
"Aranjuez","2014-07-08T00:00:00.000Z",2014,7,8,"MARTES   ",5,2
"Aranjuez","2014-07-09T00:00:00.000Z",2014,7,9,"MIÉRCOLES",4,3
"Aranjuez","2014-07-10T00:00:00.000Z",2014,7,10,"JUEVES   ",11,4
"Aranjuez","2014-07-11T00:00:00.000Z",2014,7,11,"VIERNES  ",6,5
"Aranjuez","2014-07-12T00:00:00.000Z",2014,7,12,"SÁBADO   ",4,6
"Aranjuez","2014-07-13T00:00:00.000Z",2014,7,13,"DOMINGO  ",5,7
"Aranjuez","2014-07-14T00:00:00.000Z",2014,7,14,"LUNES    ",6,1
"Aranjuez","2014-07-15T00:00:00.000Z",2014,7,15,"MARTES   ",9,2
"Aranjuez","2014-07-16T00:00:00.000Z",2014,7,16,"MIÉRCOLES",6,3
"Aranjuez","2014-07-17T00:00:00.000Z",2014,7,17,"JUEVES   ",5,4
"Aranjuez","2014-07-18T00:00:00.000Z",2014,7,18,"VIERNES  ",7,5
"Aranjuez","2014-07-19T00:00:00.000Z",2014,7,19,"SÁBADO   ",11,6
"Aranjuez","2014-07-20T00:00:00.000Z",2014,7,20,"DOMINGO  ",6,7
"Aranjuez","2014-07-21T00:00:00.000Z",2014,7,21,"LUNES    ",8,1
"Aranjuez","2014-07-22T00:00:00.000Z",2014,7,22,"MARTES   ",5,2
"Aranjuez","2014-07-23T00:00:00.000Z",2014,7,23,"MIÉRCOLES",8,3
"Aranjuez","2014-07-24T00:00:00.000Z",2014,7,24,"JUEVES   ",7,4
"Aranjuez","2014-07-25T00:00:00.000Z",2014,7,25,"VIERNES  ",3,5
"Aranjuez","2014-07-26T00:00:00.000Z",2014,7,26,"SÁBADO   ",9,6
"Aranjuez","2014-07-27T00:00:00.000Z",2014,7,27,"DOMINGO  ",5,7
"Aranjuez","2014-07-28T00:00:00.000Z",2014,7,28,"LUNES    ",8,1
"Aranjuez","2014-07-29T00:00:00.000Z",2014,7,29,"MARTES   ",6,2
"Aranjuez","2014-07-30T00:00:00.000Z",2014,7,30,"MIÉRCOLES",8,3
"Aranjuez","2014-07-31T00:00:00.000Z",2014,7,31,"JUEVES   ",6,4
"Aranjuez","2014-08-01T00:00:00.000Z",2014,8,1,"VIERNES  ",5,5
"Aranjuez","2014-08-02T00:00:00.000Z",2014,8,2,"SÁBADO   ",5,6
"Aranjuez","2014-08-03T00:00:00.000Z",2014,8,3,"DOMINGO  ",6,7
"Aranjuez","2014-08-04T00:00:00.000Z",2014,8,4,"LUNES    ",11,1
"Aranjuez","2014-08-05T00:00:00.000Z",2014,8,5,"MARTES   ",3,2
"Aranjuez","2014-08-06T00:00:00.000Z",2014,8,6,"MIÉRCOLES",10,3
"Aranjuez","2014-08-07T00:00:00.000Z",2014,8,7,"JUEVES   ",9,4
"Aranjuez","2014-08-08T00:00:00.000Z",2014,8,8,"VIERNES  ",11,5
"Aranjuez","2014-08-09T00:00:00.000Z",2014,8,9,"SÁBADO   ",17,6
"Aranjuez","2014-08-10T00:00:00.000Z",2014,8,10,"DOMINGO  ",7,7
"Aranjuez","2014-08-11T00:00:00.000Z",2014,8,11,"LUNES    ",3,1
"Aranjuez","2014-08-12T00:00:00.000Z",2014,8,12,"MARTES   ",9,2
"Aranjuez","2014-08-13T00:00:00.000Z",2014,8,13,"MIÉRCOLES",14,3
"Aranjuez","2014-08-14T00:00:00.000Z",2014,8,14,"JUEVES   ",6,4
"Aranjuez","2014-08-15T00:00:00.000Z",2014,8,15,"VIERNES  ",8,5
"Aranjuez","2014-08-16T00:00:00.000Z",2014,8,16,"SÁBADO   ",7,6
"Aranjuez","2014-08-17T00:00:00.000Z",2014,8,17,"DOMINGO  ",6,7
"Aranjuez","2014-08-18T00:00:00.000Z",2014,8,18,"LUNES    ",2,1
"Aranjuez","2014-08-19T00:00:00.000Z",2014,8,19,"MARTES   ",6,2
"Aranjuez","2014-08-20T00:00:00.000Z",2014,8,20,"MIÉRCOLES",3,3
"Aranjuez","2014-08-21T00:00:00.000Z",2014,8,21,"JUEVES   ",8,4
"Aranjuez","2014-08-22T00:00:00.000Z",2014,8,22,"VIERNES  ",4,5
"Aranjuez","2014-08-23T00:00:00.000Z",2014,8,23,"SÁBADO   ",9,6
"Aranjuez","2014-08-24T00:00:00.000Z",2014,8,24,"DOMINGO  ",5,7
"Aranjuez","2014-08-25T00:00:00.000Z",2014,8,25,"LUNES    ",3,1
"Aranjuez","2014-08-26T00:00:00.000Z",2014,8,26,"MARTES   ",10,2
"Aranjuez","2014-08-27T00:00:00.000Z",2014,8,27,"MIÉRCOLES",4,3
"Aranjuez","2014-08-28T00:00:00.000Z",2014,8,28,"JUEVES   ",4,4
"Aranjuez","2014-08-29T00:00:00.000Z",2014,8,29,"VIERNES  ",11,5
"Aranjuez","2014-08-30T00:00:00.000Z",2014,8,30,"SÁBADO   ",6,6
"Aranjuez","2014-08-31T00:00:00.000Z",2014,8,31,"DOMINGO  ",3,7
"Aranjuez","2014-09-01T00:00:00.000Z",2014,9,1,"LUNES    ",7,1
"Aranjuez","2014-09-02T00:00:00.000Z",2014,9,2,"MARTES   ",7,2
"Aranjuez","2014-09-03T00:00:00.000Z",2014,9,3,"MIÉRCOLES",9,3
"Aranjuez","2014-09-04T00:00:00.000Z",2014,9,4,"JUEVES   ",3,4
"Aranjuez","2014-09-05T00:00:00.000Z",2014,9,5,"VIERNES  ",14,5
"Aranjuez","2014-09-06T00:00:00.000Z",2014,9,6,"SÁBADO   ",3,6
"Aranjuez","2014-09-07T00:00:00.000Z",2014,9,7,"DOMINGO  ",8,7
"Aranjuez","2014-09-08T00:00:00.000Z",2014,9,8,"LUNES    ",11,1
"Aranjuez","2014-09-09T00:00:00.000Z",2014,9,9,"MARTES   ",5,2
"Aranjuez","2014-09-10T00:00:00.000Z",2014,9,10,"MIÉRCOLES",8,3
"Aranjuez","2014-09-11T00:00:00.000Z",2014,9,11,"JUEVES   ",5,4
"Aranjuez","2014-09-12T00:00:00.000Z",2014,9,12,"VIERNES  ",9,5
"Aranjuez","2014-09-13T00:00:00.000Z",2014,9,13,"SÁBADO   ",6,6
"Aranjuez","2014-09-14T00:00:00.000Z",2014,9,14,"DOMINGO  ",5,7
"Aranjuez","2014-09-15T00:00:00.000Z",2014,9,15,"LUNES    ",8,1
"Aranjuez","2014-09-16T00:00:00.000Z",2014,9,16,"MARTES   ",5,2
"Aranjuez","2014-09-17T00:00:00.000Z",2014,9,17,"MIÉRCOLES",9,3
"Aranjuez","2014-09-18T00:00:00.000Z",2014,9,18,"JUEVES   ",9,4
"Aranjuez","2014-09-19T00:00:00.000Z",2014,9,19,"VIERNES  ",7,5
"Aranjuez","2014-09-20T00:00:00.000Z",2014,9,20,"SÁBADO   ",8,6
"Aranjuez","2014-09-21T00:00:00.000Z",2014,9,21,"DOMINGO  ",4,7
"Aranjuez","2014-09-22T00:00:00.000Z",2014,9,22,"LUNES    ",9,1
"Aranjuez","2014-09-23T00:00:00.000Z",2014,9,23,"MARTES   ",6,2
"Aranjuez","2014-09-24T00:00:00.000Z",2014,9,24,"MIÉRCOLES",10,3
"Aranjuez","2014-09-25T00:00:00.000Z",2014,9,25,"JUEVES   ",5,4
"Aranjuez","2014-09-26T00:00:00.000Z",2014,9,26,"VIERNES  ",2,5
"Aranjuez","2014-09-27T00:00:00.000Z",2014,9,27,"SÁBADO   ",5,6
"Aranjuez","2014-09-28T00:00:00.000Z",2014,9,28,"DOMINGO  ",9,7
"Aranjuez","2014-09-29T00:00:00.000Z",2014,9,29,"LUNES    ",6,1
"Aranjuez","2014-09-30T00:00:00.000Z",2014,9,30,"MARTES   ",8,2
"Aranjuez","2014-10-01T00:00:00.000Z",2014,10,1,"MIÉRCOLES",8,3
"Aranjuez","2014-10-02T00:00:00.000Z",2014,10,2,"JUEVES   ",5,4
"Aranjuez","2014-10-03T00:00:00.000Z",2014,10,3,"VIERNES  ",6,5
"Aranjuez","2014-10-04T00:00:00.000Z",2014,10,4,"SÁBADO   ",11,6
"Aranjuez","2014-10-05T00:00:00.000Z",2014,10,5,"DOMINGO  ",7,7
"Aranjuez","2014-10-06T00:00:00.000Z",2014,10,6,"LUNES    ",6,1
"Aranjuez","2014-10-07T00:00:00.000Z",2014,10,7,"MARTES   ",8,2
