"","COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM","pasted","especial"
"74","Aranjuez","2014-03-15T00:00:00.000Z",2014,3,15,"SÁBADO   ",8,6,"15/3/2014",0
"75","Aranjuez","2014-03-16T00:00:00.000Z",2014,3,16,"DOMINGO  ",5,7,"16/3/2014",0
"76","Aranjuez","2014-03-17T00:00:00.000Z",2014,3,17,"LUNES    ",8,1,"17/3/2014",0
"77","Aranjuez","2014-03-18T00:00:00.000Z",2014,3,18,"MARTES   ",5,2,"18/3/2014",0
"78","Aranjuez","2014-03-19T00:00:00.000Z",2014,3,19,"MIÉRCOLES",4,3,"19/3/2014",0
"79","Aranjuez","2014-03-20T00:00:00.000Z",2014,3,20,"JUEVES   ",10,4,"20/3/2014",0
"80","Aranjuez","2014-03-21T00:00:00.000Z",2014,3,21,"VIERNES  ",9,5,"21/3/2014",0
"81","Aranjuez","2014-03-22T00:00:00.000Z",2014,3,22,"SÁBADO   ",5,6,"22/3/2014",0
"82","Aranjuez","2014-03-23T00:00:00.000Z",2014,3,23,"DOMINGO  ",9,7,"23/3/2014",0
"83","Aranjuez","2014-03-24T00:00:00.000Z",2014,3,24,"LUNES    ",14,1,"24/3/2014",1
"84","Aranjuez","2014-03-25T00:00:00.000Z",2014,3,25,"MARTES   ",11,2,"25/3/2014",0
"85","Aranjuez","2014-03-26T00:00:00.000Z",2014,3,26,"MIÉRCOLES",12,3,"26/3/2014",0
"86","Aranjuez","2014-03-27T00:00:00.000Z",2014,3,27,"JUEVES   ",5,4,"27/3/2014",0
"87","Aranjuez","2014-03-28T00:00:00.000Z",2014,3,28,"VIERNES  ",7,5,"28/3/2014",0
"88","Aranjuez","2014-03-29T00:00:00.000Z",2014,3,29,"SÁBADO   ",6,6,"29/3/2014",0
"89","Aranjuez","2014-03-30T00:00:00.000Z",2014,3,30,"DOMINGO  ",3,7,"30/3/2014",0
"90","Aranjuez","2014-03-31T00:00:00.000Z",2014,3,31,"LUNES    ",8,1,"31/3/2014",0
"91","Aranjuez","2014-04-01T00:00:00.000Z",2014,4,1,"MARTES   ",6,2,"1/4/2014",0
"92","Aranjuez","2014-04-02T00:00:00.000Z",2014,4,2,"MIÉRCOLES",7,3,"2/4/2014",0
"93","Aranjuez","2014-04-03T00:00:00.000Z",2014,4,3,"JUEVES   ",11,4,"3/4/2014",0
"94","Aranjuez","2014-04-04T00:00:00.000Z",2014,4,4,"VIERNES  ",10,5,"4/4/2014",0
"95","Aranjuez","2014-04-05T00:00:00.000Z",2014,4,5,"SÁBADO   ",11,6,"5/4/2014",0
"96","Aranjuez","2014-04-06T00:00:00.000Z",2014,4,6,"DOMINGO  ",9,7,"6/4/2014",0
"97","Aranjuez","2014-04-07T00:00:00.000Z",2014,4,7,"LUNES    ",8,1,"7/4/2014",0
"98","Aranjuez","2014-04-08T00:00:00.000Z",2014,4,8,"MARTES   ",6,2,"8/4/2014",0
"99","Aranjuez","2014-04-09T00:00:00.000Z",2014,4,9,"MIÉRCOLES",12,3,"9/4/2014",0
"100","Aranjuez","2014-04-10T00:00:00.000Z",2014,4,10,"JUEVES   ",6,4,"10/4/2014",0
